elapsed_time,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,reward,terminated,truncated,distance,whip_target_contact,valid_side_hit,arm_tip_ground_hit,robot_ground_contact,arm_self_contact
1.3900000000000001,1.5482921238294758,-1.1914791887970133,1.2502275525040971,0.19071593361136358,-1.8108637486851373,0.5741495204349529,-0.7137521615577778,0,0,1.319095928979204,0,0,0,0,0
1.4000000000000001,1.5468081138138101,-1.1852798634337522,1.2460461611562208,0.1910387212017837,-1.8090524133995263,0.5799159370940061,-0.7321612944410807,0,0,1.3187445340659134,0,0,0,0,0
1.41,1.5443548727479899,-1.1794327872292254,1.2431168993870547,0.19196410962359342,-1.8054328951272567,0.5846623019784475,-0.7668079597022532,0,0,1.3185019756648697,0,0,0,0,0
1.42,1.5421157493211295,-1.1734526351262995,1.2400764149675187,0.19418560563938422,-1.8018540698800045,0.5895022452247691,-0.7886553446871598,0,0,1.3182628870551638,0,0,0,0,0
1.43,1.5412490768785403,-1.1674392014332462,1.2378726554512947,0.19528330398773874,-1.7971822805865763,0.5945801934733469,-0.787852215618748,0,0,1.3180699226755261,0,0,0,0,0
1.44,1.5416945315766541,-1.160829079031471,1.2364045559915657,0.19751332865447743,-1.7925404582520061,0.5993481818281756,-0.8223683534967854,0,0,1.3179527506531876,0,0,0,0,0
1.45,1.5420640484730475,-1.1539881709591366,1.2347667810348912,0.1987505742194176,-1.7875335143133668,0.6055500853846899,-0.8432401773164904,0,0,1.3179315099166646,0,0,0,0,0
1.46,1.5415013911716466,-1.1473459948343303,1.2324232839881935,0.19869860003289547,-1.7832070087219192,0.6129964635286776,-0.8414705385155605,0,0,1.3180163533684395,0,0,0,0,0
1.47,1.5412173375602638,-1.139894945899991,1.228909865568942,0.1975094236349274,-1.78019478693631,0.620883156482732,-0.8298445672837738,0,0,1.3181250458883762,0,0,0,0,0
1.48,1.5397914870274154,-1.1321930587102673,1.2255667637742624,0.1952733197353576,-1.7778272249753417,0.6284364288927661,-0.8348315069107339,0,0,1.318222531229455,0,0,0,0,0
1.49,1.5382147819364134,-1.1243571037913815,1.221652393674099,0.19263745922219003,-1.7758330177672204,0.6346533004153899,-0.8375260271198295,0,0,1.3183297862337497,0,0,0,0,0
1.5,1.5369005824734827,-1.1163726156807718,1.2171706172136523,0.1914585359377539,-1.773129859701278,0.6400032661175404,-0.8409187036463024,0,0,1.3183485216774624,0,0,0,0,0
